host,alias,short_url,status,location,sources,labels,first_seen,api_status,api_body
da.gd,G0TVsT,https://da.gd/G0TVsT,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2FJ7cAQ&jq=%7Bs%3A.status.url%2Cy%3A2019%2Ce%3A%28.contents%7Cfromjson%7C%5B.regCF_county_2019%5B%5D%7Cselect%28.code%7Ctest%28%22ma%22%29%29%7C%7Bc%3A.code%2Cu%3A.usd%7D%5D%29%7D 
da.gd,GSdzp,https://da.gd/GSdzp,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2F4qPkK&jq=%7Bsrc%3A%22https%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json%22%2Cy%3A2021%2Cd%3A.regCF_county_2021%5B82%3A91%5D%7D 
da.gd,GYeQMh,https://da.gd/GYeQMh,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2F4qPkK&jq=%7Bsource%3A%22https%3A%2F%2Fwww.sec.gov%2Ffiles%2Fcounty.json%22%2Cdata%3A.regCF_county_2019%5B46%3A52%5D%7D 
da.gd,GlmXJy,https://da.gd/GlmXJy,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2FJ7cAQ&jq=%7Bs%3A.status.url%2Cy2019%3A%28.contents%7Cfromjson%7C.regCF_county_2019%7Cmap%28select%28.code%7Ctest%28%22ma%22%29%29%29%29%7D 
da.gd,GzqmVq,https://da.gd/GzqmVq,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://jqp.vercel.app/api/v0?url=https%3A%2F%2Fda.gd%2F4qPkK&jq=%7By2021%3A.regCF_county_2021%7Cmap%28select%28.code%7Ctest%28%22ma%22%29%29%29%7D 
da.gd,HB,https://da.gd/HB,,,vanderbi.lt-referrer,,2026-06-18 12:37:46,200,https://handnews.fr/2024/lbe-brest-parvient-enfin-a-attirer-la-russe-anna-vyakhireva/ 
da.gd,HBukq,https://da.gd/HBukq,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://www.investor.gov/files/county.json 
da.gd,HTMZ4,https://da.gd/HTMZ4,,,vanderbi.lt-referrer,,2026-05-27 12:12:04,200,https://www.sec.gov/modules/custom/sec_custom_blocks/js/oasb_raising_capital_map/main.js 
da.gd,HhDtd,https://da.gd/HhDtd,,,vanderbi.lt-referrer,,2026-06-18 13:25:58,200,https://md.succ.ai/www.sec.gov/files/county.json?mode=fit&max_tokens=4000 
da.gd,HqaWE,https://da.gd/HqaWE,,,vanderbi.lt-referrer,,2026-06-17 04:23:57,200,https://www.sec.gov/files/regcf.json 
