shorturl,keyword,url,title,timestamp,ip,clicks
http://rmn.re/zpng233166,zpng233166,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane,png,2026-06-17 05:49:50,20.57.152.229,34
http://rmn.re/zcsv891673,zcsv891673,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.csv?:showVizHome=no&LGA=Brisbane,csv,2026-06-17 05:49:53,20.122.143.63,25
http://rmn.re/meth51372781,meth51372781,https://www.aihw.gov.au/reports/medicines/pbs-monthly-data/data,m,2026-06-17 05:53:25,130.213.19.32,34
http://rmn.re/meth53675634,meth53675634,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard?:showVizHome=no,m,2026-06-17 05:53:34,20.9.45.249,33
http://rmn.re/agd697423,agd697423,"https://api.dataafrica.io/api/join/?geo=050AF0017002122&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all","https://api.dataafrica.io/api/join/?geo=050AF0017002122&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all",2026-06-17 08:56:53,135.232.250.37,23
http://rmn.re/agd29275830,agd29275830,https://api.dataafrica.io,https://api.dataafrica.io,2026-06-17 08:58:37,135.232.226.122,23
http://rmn.re/agd68356233,agd68356233,https://api.dataafrica.io,https://api.dataafrica.io,2026-06-17 08:58:38,20.59.23.78,22
http://rmn.re/agd65497719,agd65497719,https://api.dataafrica.io/api/join/,https://api.dataafrica.io/api/join/,2026-06-17 08:58:44,104.42.174.232,29
http://rmn.re/agd30519948,agd30519948,https://api.dataafrica.io/api/join/?geo=050AF0017002122,https://api.dataafrica.io/api/join/?geo=050AF0017002122,2026-06-17 08:58:47,20.65.233.86,28
http://rmn.re/agd32949904,agd32949904,http://api.dataafrica.io/api/join/?geo=050AF0017002122,http://api.dataafrica.io/api/join/?geo=050AF0017002122,2026-06-17 08:58:56,20.14.144.200,30
http://rmn.re/agd35064984,agd35064984,http://api.dataafrica.io/api/join/?geo=050AF0017002122,http://api.dataafrica.io/api/join/?geo=050AF0017002122,2026-06-17 08:58:59,20.245.76.15,30
http://rmn.re/agdsoftest,agdsoftest,"https://api.dataafrica.io/api/join/?geo=050AF0017002120&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all","https://api.dataafrica.io/api/join/?geo=050AF0017002120&show=year,condition,residence&required=dhs_geo_name,dhs_geo_parent_name,proportion_of_children&sumlevel=all,all,all",2026-06-17 09:07:27,74.249.205.67,23
http://rmn.re/pbsweb95618278,pbsweb95618278,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane&bridge=pbsweb95618278,PBSWEB,2026-06-17 13:32:09,4.154.21.77,22
http://rmn.re/pbsf0971751,pbsf0971751,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane&State/Territory=Queensland,F0,2026-06-17 13:39:09,20.114.181.97,31
http://rmn.re/pbsf1864886,pbsf1864886,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane&State=Queensland,F1,2026-06-17 13:39:11,172.184.178.140,31
http://rmn.re/pbsf3299285,pbsf3299285,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&LGA=Brisbane&Jurisdiction=Queensland,F3,2026-06-17 13:39:14,20.165.132.183,26
http://rmn.re/pv057182,pv057182,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&State/Territory=Queensland&LGA=Brisbane,V0,2026-06-17 13:41:55,20.69.55.193,30
http://rmn.re/pv261210,pv261210,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&State%20/%20Territory=Queensland&LGA=Brisbane,V2,2026-06-17 13:41:58,20.12.189.100,28
http://rmn.re/pv387269,pv387269,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&State%20or%20Territory=Queensland&LGA=Brisbane,V3,2026-06-17 13:41:59,23.102.125.240,30
http://rmn.re/pv443627,pv443627,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&State/Territory=QLD&LGA=Brisbane,V4,2026-06-17 13:42:01,20.59.17.133,28
http://rmn.re/pv547998,pv547998,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&State/Territory=Qld&LGA=Brisbane,V5,2026-06-17 13:42:02,20.163.102.6,31
http://rmn.re/pv630773,pv630773,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&State%20Name=Queensland&LGA=Brisbane,V6,2026-06-17 13:42:03,20.69.27.114,23
http://rmn.re/pv719529,pv719529,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&State_Territory=Queensland&LGA=Brisbane,V7,2026-06-17 13:42:05,20.168.176.126,32
http://rmn.re/pp019037,pp019037,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Parameters.State/Territory=Queensland&Parameters.LGA=Brisbane,P0,2026-06-17 13:43:19,128.203.184.67,29
http://rmn.re/pp141475,pp141475,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Parameters.Select%20State/Territory=Queensland&Parameters.Select%20an%20LGA=Brisbane,P1,2026-06-17 13:43:20,20.69.243.118,32
http://rmn.re/pp278190,pp278190,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Parameters.State=Queensland&Parameters.LGA=Brisbane,P2,2026-06-17 13:43:21,20.9.3.125,31
http://rmn.re/pp355040,pp355040,https://viz.aihw.gov.au/t/Public/views/PBSdashboardallATC1-ATC2medicines-Agegroup/PBSDashboard.png?:showVizHome=no&Parameter%20State/Territory=Queensland&Parameter%20LGA=Brisbane,P3,2026-06-17 13:43:22,20.165.195.145,27
