capture_ts,captured_url,http_status,db_page,db_wiki,db_first_write,db_last_write,deleted_live,n_revisions
20260518215513,https://wikiservice.at/gruender/wiki.cgi?action=browse&id=RecentChanges&days=3,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260518215706,https://wikiservice.at/support/wiki.cgi?action=edit&id=TestSeite&section=31,200,TestSeite,dse,2026-05-26T14:31:27Z,2026-06-22T08:42:22Z,0,238
20260518221329,https://wikiservice.at/fractal/wiki.cgi?FR/PaysagisteNum%E9rique/RecentChanges,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260518221329,https://wikiservice.at/fractal/wiki.cgi?FR/PaysagisteNum%E9rique/RecentChanges,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260518221329,https://wikiservice.at/fractal/wiki.cgi?FR/PaysagisteNum%E9rique/RecentChanges,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260518222205,https://wikiservice.at/fractal/wiki.cgi?action=edit&id=FR/AyLuMax/Context&section=15,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260519030631,https://wikiservice.at/fractal/wiki.cgi?action=edit&id=FR/MaVieSansBug/Context&section=10,200,Context,probier,2026-05-26T14:06:45Z,2026-05-26T14:06:45Z,0,1
20260519031420,https://www.wikiservice.at/gruender/wiki.cgi?action=editprefs&lang=1&oldid=StartSeite&id=StartSeite,200,StartSeite,dse,2026-05-26T11:27:48Z,2026-06-22T19:28:18Z,0,456
20260519031420,https://www.wikiservice.at/gruender/wiki.cgi?action=editprefs&lang=1&oldid=StartSeite&id=StartSeite,200,StartSeite,probier,2026-05-26T14:14:20Z,2026-05-26T14:14:20Z,0,1
20260519031420,https://www.wikiservice.at/gruender/wiki.cgi?action=editprefs&lang=1&oldid=StartSeite&id=StartSeite,200,Startseite,dse,2026-06-20T21:32:10Z,2026-06-20T21:32:10Z,0,1
20260519032243,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/BarCamp/RecentChanges&from=,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260519032243,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/BarCamp/RecentChanges&from=,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260519032243,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=FR/BarCamp/RecentChanges&from=,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
20260519034212,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=WikiWikiBelgique/RetoScope/RecentChanges&days=2,200,RecentChanges,dse,2026-05-26T13:13:21Z,2026-06-22T08:20:14Z,0,75
20260519034212,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=WikiWikiBelgique/RetoScope/RecentChanges&days=2,200,RecentChanges,fractal,2026-05-26T10:51:00Z,2026-06-22T09:05:32Z,0,41
20260519034212,https://wikiservice.at/fractal/wiki.cgi?action=browse&id=WikiWikiBelgique/RetoScope/RecentChanges&days=2,200,RecentChanges,probier,2026-05-26T15:36:12Z,2026-06-18T20:05:43Z,0,40
